halo_subs_idx,host_id,R_vir_host_kpc,r_gal_kpc,mpeak,vpeak,r_acc_kpc,M_V,r_half_kpc,mu_V,M_star,base_survival,f_wdm,weight,cosmo
94,23,278.48857142857145,113.12514381543839,110500000.0,14.06,16.234285714285715,-1.640318572410762,0.005441359085437418,25.60366803225795,516.9248720959885,0.7943654487450513,0.7567209296079238,0.6011129608227708,WDM_8keV
96,23,278.48857142857145,252.96649048069682,103500000.0,13.97,12.51142857142857,-1.7201555961392403,0.026412242593101036,28.9543204625514,556.368122023951,0.994379793674424,0.7444888064433655,0.740304625744072,WDM_8keV
97,23,278.48857142857145,262.66380894711864,98410000.0,11.33,14.522857142857145,-0.27597369788982107,0.035933869467246186,31.066995902305877,147.1260174264503,0.8488372692456458,0.7347924382059,0.6237192067090461,WDM_8keV
98,23,278.48857142857145,160.8391971720225,178200000.0,16.69,14.088571428571429,-3.64730501398411,0.02194972202026243,26.625289779612686,3282.630539613269,0.7364307606807804,0.8337095705656375,0.6139693732384992,WDM_8keV
99,23,278.48857142857145,198.92238718266097,257400000.0,20.01,12.952857142857145,-4.542644009803108,0.017818288169709297,25.27713555292988,7487.858070496551,0.9732762152615797,0.878637998327753,0.8551574655974457,WDM_8keV
100,23,278.48857142857145,236.00136327866596,148300000.0,15.83,15.457142857142859,-2.9810838359359186,0.1636505021897723,31.653952546727066,1777.1886639731601,0.5429911355352774,0.8066920407965609,0.43802662725939495,WDM_8keV
101,23,278.48857142857145,214.6489649713397,92490000.0,12.05,13.59714285714286,-1.5379523724144608,0.0725494127569991,31.33066680568337,470.41476976393943,0.9677555399364218,0.7225462642805943,0.6992481501179111,WDM_8keV
103,23,278.48857142857145,169.141144417003,187500000.0,15.91,16.405714285714286,-3.409103977338124,0.05418217327876687,28.82562779782242,2635.976844603717,0.47557504036845655,0.8406372682544394,0.39978610278533405,WDM_8keV
105,23,278.48857142857145,233.45883918120487,100400000.0,11.72,14.457142857142857,-0.8047928764269914,0.025207718405804182,29.768324488020866,239.45127318572568,0.8764512572390296,0.7386697077128849,0.6474079940093445,WDM_8keV
107,23,278.48857142857145,270.59176005977037,137300000.0,11.73,16.25714285714286,-0.7643776732533718,0.004206364111500112,25.920606314632373,230.70184583282796,0.9481270805353084,0.7944028109779256,0.7531948179415431,WDM_8keV
110,23,278.48857142857145,142.5758301639432,156800000.0,13.53,13.772857142857143,-2.0970255420446486,0.01196987382272977,26.858871990999226,787.2455543578149,0.8456234267384162,0.815226374802144,0.6893745206277254,WDM_8keV
114,23,278.48857142857145,193.51824308876036,136200000.0,14.09,13.102857142857145,-2.271991558920341,0.048615476840991906,29.72733086123122,924.9039273628796,0.8452131866425039,0.7930873900078501,0.6703279201945213,WDM_8keV
115,23,278.48857142857145,229.50417629920136,91640000.0,12.4,14.481428571428573,-1.1108646091198802,0.03509395178320171,30.180746437050985,317.428446485544,0.8321695328355514,0.7206944564952087,0.5997399691787895,WDM_8keV
116,23,278.48857142857145,257.63666434793265,125200000.0,15.02,13.667142857142858,-2.80387298506976,0.03403551495165661,28.42123831479203,1509.5558795511379,0.7428476422379198,0.7789440097701593,0.578636721093114,WDM_8keV
119,23,278.48857142857145,164.73618550982877,161600000.0,16.46,15.508571428571429,-3.320266472384188,0.07087877992396875,29.49776436446022,2428.8829649678614,0.8428789781835455,0.8197209138485316,0.6909255262603324,WDM_8keV
120,23,278.48857142857145,126.19171841257456,117000000.0,13.29,13.91,-1.4536000249542633,0.010945224340924856,27.307972983924564,435.25123290070457,0.9578483057640855,0.7670751396166403,0.7347416228755483,WDM_8keV
121,23,278.48857142857145,123.16665497592955,177400000.0,17.04,17.652857142857144,-3.7247104495430348,0.22351607464284554,31.587283030451516,3525.203395918173,0.90336182633741,0.8330853979130597,0.7525775465537695,WDM_8keV
125,23,278.48857142857145,205.44634236666246,70210000.0,11.32,12.610000000000001,-0.7433488273651649,0.02897554644819033,30.1322590187697,226.27654085148407,0.9248851225702122,0.6641837949679447,0.6142937106180761,WDM_8keV
126,23,278.48857142857145,128.15521361033757,381500000.0,24.63,16.404285714285717,-6.923709887356909,0.012036216126332057,22.04418967091527,67109.49255648303,0.12611142182782964,0.9147344990490017,0.11535846827003708,WDM_8keV
127,23,278.48857142857145,20.072994346656998,303100000.0,15.89,18.1,-2.7255408658112135,0.014311853694452968,26.618388244719494,1404.4825456250796,0.42707502089437155,0.8950062303988762,0.38223480454819275,WDM_8keV
129,23,278.48857142857145,175.03193236361722,115600000.0,13.38,12.760000000000002,-1.537733144400307,0.06706189363864261,31.160095589078136,470.3197948663332,0.7769689941003822,0.7649201748935451,0.5943192588541262,WDM_8keV
