halo_subs_idx,host_id,R_vir_host_kpc,r_gal_kpc,mpeak,vpeak,r_acc_kpc,M_V,r_half_kpc,mu_V,M_star,base_survival,f_wdm,weight,cosmo
710,23,278.48857142857145,240.8199200181591,25940000.0,8.07,8.391428571428571,1.0915932836445688,0.043135282403655356,32.831206182932796,41.750596674673545,0.6241191814310051,0.42288243005832554,0.2639290360895564,WDM_8keV
711,23,278.48857142857145,108.91339566418128,11280000.0,7.29,6.122857142857143,0.8412346296848661,0.025068647536191754,31.402338821704912,52.578252548818114,0.8053423785703401,0.24234438493872398,0.19517020339971808,WDM_8keV
712,23,278.48857142857145,190.29846589619927,18890000.0,8.37,6.950000000000001,1.4490942464304393,0.009806856344563235,29.972192985311338,30.03739747270748,0.4105960421157413,0.34823214208332304,0.14298273927689892,WDM_8keV
713,23,278.48857142857145,147.2375915564596,22280000.0,8.68,8.227142857142859,1.0910465342921087,0.08480176341762986,34.29852062181196,41.77162651612143,0.5291198047632149,0.3864027837254563,0.20445336548477616,WDM_8keV
714,23,278.48857142857145,264.298387340931,10720000.0,5.57,6.858571428571429,1.1605584115433194,0.062289902171006974,33.69809632642039,39.181100977890466,0.6786122229268453,0.2331683537849153,0.15823089487817446,WDM_8keV
715,23,278.48857142857145,155.37986237815338,18890000.0,9.26,7.654285714285714,1.3008218763158745,0.0317837908184727,32.37730001618763,34.43271353687914,0.4664990971323522,0.34823214208332304,0.16244997987433518,WDM_8keV
716,23,278.48857142857145,150.98518510916236,8178000.0,5.49,5.968571428571429,1.6340341882702556,0.007077286517970719,29.44881774919892,25.332982592137217,0.8070364585354445,0.18853191556763524,0.15215212946060777,WDM_8keV
717,23,278.48857142857145,189.500862094861,30170000.0,8.07,7.892857142857144,0.8468047441700834,0.03926722136688468,32.38240526879152,52.309202916391975,0.4738302433950134,0.45997867324614705,0.2179518067007372,WDM_8keV
718,23,278.48857142857145,72.69937399724203,51880000.0,12.3,7.005714285714286,-1.1131241026633143,0.02590517143849051,29.51925792203751,318.08972529403246,0.7562917666520472,0.5938947701220314,0.4491577249010026,WDM_8keV
719,23,278.48857142857145,169.9020251888263,17760000.0,8.53,7.058571428571429,1.4446150050927802,0.003300845040163761,27.603190359164245,30.161573739792612,0.6733794805657195,0.33442739230819146,0.22519654371943806,WDM_8keV
720,23,278.48857142857145,120.4581000910813,18050000.0,7.3,8.202857142857143,1.1204795344393808,0.002946737053950147,27.032636126332918,40.65445900567848,0.667904580807119,0.3380258735791162,0.2257690293948198,WDM_8keV
721,23,278.48857142857145,87.38502767194078,16070000.0,7.67,6.362857142857143,0.6920103064439589,0.06805379068736508,33.421721582328786,60.32479815162773,0.8686750431820145,0.3126500419737535,0.27159128871240895,WDM_8keV
722,23,278.48857142857145,272.2480895156061,11280000.0,7.38,6.8657142857142865,1.885075152396388,0.00040646942551577405,23.495664241710017,20.10341967712037,0.7403962826635,0.24234438493872398,0.17943088173300353,WDM_8keV
723,23,278.48857142857145,50.713112662492385,8741000.0,9.6,6.6885714285714295,1.1309899147920137,0.0392369999264422,32.66491855409932,40.262805589856875,0.41822393906583927,0.19886453059746056,0.08316990732694908,WDM_8keV
724,23,278.48857142857145,162.32860977357902,30740000.0,7.35,6.98,1.4098271611795585,0.013252776944720908,30.586811274536366,31.143623144196848,0.6606625580943504,0.4646154213259039,0.30695401278325607,WDM_8keV
725,23,278.48857142857145,36.71567812812766,33560000.0,13.23,11.314285714285715,-2.289574478662467,0.3531260362432891,34.01552389021438,940.0041943830986,0.2709375942058235,0.48642993901572634,0.13179215742660633,WDM_8keV
726,23,278.48857142857145,42.97465081003748,38070000.0,11.69,9.211428571428572,-0.9565393331287408,0.01591245196358056,28.61759586585645,275.3694348442505,0.44392817473191987,0.5178449645105,0.22988596988926208,WDM_8keV
727,23,278.48857142857145,223.61658558107447,9869000.0,6.15,6.0442857142857145,0.8182558723547855,0.07640060956731873,33.799189661433935,53.7028891767185,0.8163937757850884,0.2187871272680834,0.17861644892356326,WDM_8keV
728,23,278.48857142857145,107.97481187759013,50760000.0,13.76,8.852857142857143,-1.6713407671092675,0.01808664678679074,28.18089919055044,531.9077361864444,0.17259658912797504,0.5886331849705212,0.10159607997344838,WDM_8keV
729,23,278.48857142857145,126.68346863143746,21710000.0,9.19,9.39857142857143,1.323485358011637,0.04359250904078737,33.08599436036946,33.7214201888987,0.3799703742846613,0.3803013365172034,0.14450324117739868,WDM_8keV
730,23,278.48857142857145,269.22086903978163,34680000.0,8.83,8.482857142857142,0.9300821056632662,0.11179306015246906,34.73760599864711,48.44702994981436,0.6124544503226114,0.49460789192826143,0.3029248045761489,WDM_8keV
731,23,278.48857142857145,254.4148147399964,26220000.0,8.53,7.710000000000001,1.066420890688808,0.014646387411654492,30.46052314897367,42.72987710261727,0.8457316291120516,0.42549506485159866,0.35985463437608056,WDM_8keV
732,23,278.48857142857145,236.1442195968005,9869000.0,6.65,6.128571428571429,0.8947583199137701,0.13394536796905596,35.09484648906839,50.0491460716563,0.8146496186656235,0.2187871272680834,0.17823484979789136,WDM_8keV
733,23,278.48857142857145,170.19230719562128,9587000.0,5.51,6.237142857142857,1.1525017533411726,0.005242857674825739,28.315791765754923,39.472924021619235,0.8023630571205514,0.21390080101059297,0.17162610061939412,WDM_8keV
734,23,278.48857142857145,189.4013474296421,37220000.0,8.09,8.205714285714286,0.989466602257095,0.05291788816808709,33.172928793960324,45.86837549035679,0.7855065093833703,0.5122218374944869,0.4023535876002304,WDM_8keV
735,23,278.48857142857145,212.48402196832365,15510000.0,7.89,7.094285714285715,1.0314752267994263,0.1324677019121181,35.20747490825842,44.12755950756016,0.5872388074243841,0.3051147662309289,0.17917523144902042,WDM_8keV
736,23,278.48857142857145,99.73370871005267,26790000.0,10.13,6.325714285714286,-0.06476157479369604,0.07912488482195228,32.99225355032963,121.1168674915442,0.5736453559578616,0.43074108300130387,0.24709262188395775,WDM_8keV
737,23,278.48857142857145,162.31095188568926,108300000.0,12.13,7.971428571428572,-1.414891766107771,0.733976701174177,36.47896927581142,420.0071720127952,0.5775958360259243,0.7530046966758871,0.4349323773079566,WDM_8keV
738,23,278.48857142857145,12.204231450861027,71900000.0,12.53,9.71857142857143,-0.80681151486516,0.010654036993942849,27.89620915827669,239.8968834229161,0.4566354657405639,0.6694580848348968,0.30569830436236906,WDM_8keV
739,23,278.48857142857145,69.6198907186222,188900000.0,20.21,18.35571428571429,-4.14721180541085,0.006273166158096065,23.405671819980103,5202.172178953503,0.07741471159514635,0.8416304693379648,0.0651545800534862,WDM_8keV
740,23,278.48857142857145,170.53479087259873,54990000.0,13.82,9.711428571428572,-2.4533829558865072,0.00730026635071384,25.428760243374796,1093.083106454598,0.7746780630217578,0.6078231156167342,0.4708672338658216,WDM_8keV
741,23,278.48857142857145,206.75027083366737,12970000.0,6.98,5.867142857142857,0.6711131238745365,0.07483219976352172,33.60700535431525,61.4971161546175,0.8128932840193052,0.268743192203517,0.21845953606814827,WDM_8keV
742,23,278.48857142857145,199.49230152401478,61470000.0,13.13,9.07,-1.3645001976858362,0.07953990009423062,31.70387467899185,400.9591042324954,0.6469235595749439,0.6339783509287855,0.41013553147630283,WDM_8keV
743,23,278.48857142857145,87.73958918415258,40040000.0,12.81,11.014285714285714,-0.8872270579239183,0.04818632155402006,31.092841485008066,258.3395050425827,0.3377468781726819,0.5303914535518616,0.17913805764661225,WDM_8keV
744,23,278.48857142857145,199.64708863391672,17480000.0,8.68,7.695714285714286,1.0521547191636942,0.004968685282429173,28.098811836623284,43.295036721493375,0.46879077422284116,0.3309155447665682,0.15513015443349276,WDM_8keV
745,23,278.48857142857145,222.52442837695853,11280000.0,9.65,6.63857142857143,0.24273769452737337,0.09769808365797952,33.757617591133865,91.24412739222156,0.7147359324395016,0.24234438493872398,0.1732122399406564,WDM_8keV
746,23,278.48857142857145,245.71666028752875,14380000.0,6.17,5.977142857142858,0.45765882366420385,0.0034808405312512767,26.73152913096942,74.85769848877068,0.8158510353550626,0.2893928491218167,0.23610145558038556,WDM_8keV
747,23,278.48857142857145,232.09687896326383,12120000.0,7.97,6.920000000000001,0.9061127562807068,0.19133220073381618,35.88050276147757,49.528468315517564,0.6390776666768777,0.2557012123331702,0.16341293414433128,WDM_8keV
748,23,278.48857142857145,266.30608137928044,18330000.0,9.49,7.521428571428571,0.822969253059521,3.2723581103080974,41.96272304690425,53.47026035788556,0.6692124530711182,0.34146341377221656,0.2285115687645433,WDM_8keV
749,23,278.48857142857145,143.96957586764213,12410000.0,8.13,6.174285714285714,1.3994126240709166,0.04808112807547712,33.37473553744458,31.44379457801864,0.7846200332572449,0.26020311157271603,0.20416057405582308,WDM_8keV
750,23,278.48857142857145,129.41205902236263,26510000.0,9.85,8.374285714285715,0.41194356661160025,0.08611363053893781,33.65275273457322,78.07690211705335,0.34315948087335163,0.4281761402320528,0.14693270200438666,WDM_8keV
751,23,278.48857142857145,166.38090365796415,25100000.0,8.26,7.827142857142857,1.1915595528760545,0.014096987087178992,30.502640733419554,38.07817968039025,0.36148622298897976,0.4148996883301398,0.14998052125376712,WDM_8keV
752,23,278.48857142857145,234.92534376448137,7896000.0,7.51,6.1971428571428575,1.4420906735213004,0.001373240063729921,25.696272670948822,30.23178084089717,0.7897896729717016,0.18325447152728508,0.14473248913813647,WDM_8keV
753,23,278.48857142857145,233.12274992075038,19460000.0,10.8,6.748571428571429,-0.9858755682021094,0.010539801493932612,27.69373626006371,282.91125632404874,0.5598229089122042,0.35497988078915904,0.1987258694686945,WDM_8keV
754,23,278.48857142857145,137.78052200836342,27920000.0,8.8,6.851428571428572,0.4620079657909688,0.004783376021809422,27.426130247483517,74.55844018304575,0.7252697587215036,0.4408623960411323,0.319744163606136,WDM_8keV
755,23,278.48857142857145,29.915493221630275,41730000.0,11.61,11.787142857142857,-1.2041790839810318,0.004027517661818847,25.386457854920067,345.91678316435963,0.1269271265121411,0.5406452429859374,0.06862254715466334,WDM_8keV
